Time,Temperature,Humidity,Moisture,MoistureClass,LightValue,Lights,PiTemperature,Height,SonicDistance,Image,WaterGiven
Thu Jan 24 01:40:16 2019,17.0,46.0,512,Moist,0,False,36.5,,,,0.0
Thu Jan 24 01:50:16 2019,17.0,46.0,515,Moist,0,False,36.5,,,,0.0
Thu Jan 24 02:00:16 2019,17.0,46.0,513,Moist,0,False,36.5,,,,0.0
Thu Jan 24 02:10:16 2019,17.0,46.0,512,Moist,0,False,36.5,,,,0.0
Thu Jan 24 02:20:17 2019,17.0,46.0,511,Moist,0,False,36.5,,,,0.0
Thu Jan 24 02:30:17 2019,17.0,45.0,511,Moist,0,False,36.5,,,,0.0
Thu Jan 24 02:40:17 2019,17.0,45.0,514,Moist,0,False,36.5,,,,0.0
Thu Jan 24 02:50:17 2019,17.0,45.0,511,Moist,0,False,36.5,,,,0.0
Thu Jan 24 03:00:17 2019,17.0,45.0,508,Moist,0,False,36.5,,,,0.0
Thu Jan 24 03:10:17 2019,17.0,45.0,508,Moist,0,False,36.5,,,,0.0
Thu Jan 24 03:20:17 2019,17.0,45.0,514,Moist,0,False,37.0,,,,0.0
Thu Jan 24 03:30:17 2019,17.0,45.0,515,Moist,0,False,36.5,,,,0.0
Thu Jan 24 03:40:17 2019,17.0,45.0,512,Moist,0,False,36.5,,,,0.0
Thu Jan 24 03:50:17 2019,17.0,45.0,511,Moist,0,False,36.5,,,,0.0
Thu Jan 24 04:00:18 2019,17.0,45.0,510,Moist,0,False,36.5,,,,0.0
Thu Jan 24 04:10:18 2019,17.0,45.0,508,Moist,0,False,36.5,,,,0.0
Thu Jan 24 04:20:18 2019,17.0,45.0,506,Moist,0,False,36.5,,,,0.0
Thu Jan 24 04:30:18 2019,17.0,44.0,508,Moist,0,False,36.5,,,,0.0
Thu Jan 24 04:40:18 2019,17.0,45.0,509,Moist,0,False,36.5,,,,0.0
Thu Jan 24 04:50:18 2019,17.0,45.0,508,Moist,0,False,36.5,,,,0.0
